"Statistic","Year","Local Government District","Rounded","Unrounded"
"Population totals",2006,"Newry, Mourne and Down",162700,162723
"Population totals",2006,"Ards and North Down",153500,153488
"Population totals",2006,"Northern Ireland",1743100,1743113
"Population totals",2007,"Antrim and Newtownabbey",134800,134756
"Population totals",2007,"Armagh City, Banbridge and Craigavon",190500,190505
"Population totals",2007,"Belfast",327400,327383
"Population totals",2007,"Causeway Coast and Glens",138400,138375
"Population totals",2007,"Derry City and Strabane",146700,146742
"Population totals",2007,"Fermanagh and Omagh",110300,110345
"Population totals",2007,"Lisburn and Castlereagh",129200,129179
"Population totals",2007,"Mid and East Antrim",133300,133270
"Population totals",2007,"Mid Ulster",131100,131088
"Population totals",2007,"Newry, Mourne and Down",165600,165634
"Population totals",2007,"Ards and North Down",154400,154406
"Population totals",2007,"Northern Ireland",1761700,1761683
"Population totals",2008,"Antrim and Newtownabbey",136100,136122
"Population totals",2008,"Armagh City, Banbridge and Craigavon",193600,193603
"Population totals",2008,"Belfast",330100,330052
"Population totals",2008,"Causeway Coast and Glens",139000,139004
"Population totals",2008,"Derry City and Strabane",147500,147496
"Population totals",2008,"Fermanagh and Omagh",111500,111494
"Population totals",2008,"Lisburn and Castlereagh",130600,130584
"Population totals",2008,"Mid and East Antrim",134200,134169
"Population totals",2008,"Mid Ulster",133600,133595
"Population totals",2008,"Newry, Mourne and Down",168000,168019
"Population totals",2008,"Ards and North Down",155000,155014
"Population totals",2008,"Northern Ireland",1779200,1779152
"Population totals",2009,"Antrim and Newtownabbey",137400,137422
"Population totals",2009,"Armagh City, Banbridge and Craigavon",196200,196203
"Population totals",2009,"Belfast",331800,331763
"Population totals",2009,"Causeway Coast and Glens",139600,139616
"Population totals",2009,"Derry City and Strabane",148100,148053
"Population totals",2009,"Fermanagh and Omagh",112000,111998
"Population totals",2009,"Lisburn and Castlereagh",132400,132386
"Population totals",2009,"Mid and East Antrim",134800,134774
"Population totals",2009,"Mid Ulster",135400,135408
"Population totals",2009,"Newry, Mourne and Down",169700,169652
"Population totals",2009,"Ards and North Down",156100,156058
"Population totals",2009,"Northern Ireland",1793300,1793333
"Population totals",2010,"Antrim and Newtownabbey",138000,138044
"Population totals",2010,"Armagh City, Banbridge and Craigavon",198200,198202
"Population totals",2010,"Belfast",333500,333489
"Population totals",2010,"Causeway Coast and Glens",140100,140107
"Population totals",2010,"Derry City and Strabane",148100,148148
"Population totals",2010,"Fermanagh and Omagh",112900,112919
"Population totals",2010,"Lisburn and Castlereagh",133900,133909
"Population totals",2010,"Mid and East Antrim",135200,135157
"Population totals",2010,"Mid Ulster",137200,137221
"Population totals",2010,"Newry, Mourne and Down",171100,171119
"Population totals",2010,"Ards and North Down",156500,156518
"Population totals",2010,"Northern Ireland",1804800,1804833
"Population totals",2011,"Antrim and Newtownabbey",138700,138651
"Population totals",2011,"Armagh City, Banbridge and Craigavon",200300,200298
"Population totals",2011,"Belfast",333900,333895
"Population totals",2011,"Causeway Coast and Glens",140900,140907
"Population totals",2011,"Derry City and Strabane",148200,148191
"Population totals",2011,"Fermanagh and Omagh",113500,113501
"Population totals",2011,"Lisburn and Castlereagh",135300,135280
"Population totals",2011,"Mid and East Antrim",135400,135365
"Population totals",2011,"Mid Ulster",139000,139011
"Population totals",2011,"Newry, Mourne and Down",172300,172276
"Population totals",2011,"Ards and North Down",156900,156943
"Population totals",2011,"Northern Ireland",1814300,1814318
"Population totals",2012,"Antrim and Newtownabbey",139400,139397
"Population totals",2012,"Armagh City, Banbridge and Craigavon",202600,202560
"Population totals",2012,"Belfast",334300,334322
"Population totals",2012,"Causeway Coast and Glens",141100,141147
"Population totals",2012,"Derry City and Strabane",148700,148666
"Population totals",2012,"Fermanagh and Omagh",114200,114162
"Population totals",2012,"Lisburn and Castlereagh",136500,136498
"Population totals",2012,"Mid and East Antrim",135800,135837
"Population totals",2012,"Mid Ulster",140500,140466
"Population totals",2012,"Newry, Mourne and Down",173800,173754
"Population totals",2012,"Ards and North Down",157800,157794
"Population totals",2012,"Northern Ireland",1824600,1824603
"Population totals",2013,"Antrim and Newtownabbey",140000,140042
"Population totals",2013,"Armagh City, Banbridge and Craigavon",204100,204072
"Population totals",2013,"Belfast",335900,335881
"Population totals",2013,"Causeway Coast and Glens",141100,141100
"Population totals",2013,"Derry City and Strabane",148700,148721
"Population totals",2013,"Fermanagh and Omagh",114200,114219
"Population totals",2013,"Lisburn and Castlereagh",137200,137201
"Population totals",2013,"Mid and East Antrim",136000,135983
"Population totals",2013,"Mid Ulster",141600,141551
"Population totals",2013,"Newry, Mourne and Down",175000,174951
"Population totals",2013,"Ards and North Down",158000,157956
"Population totals",2013,"Northern Ireland",1831700,1831677
"Population totals",2014,"Antrim and Newtownabbey",140700,140682
"Population totals",2014,"Armagh City, Banbridge and Craigavon",206100,206141
"Population totals",2014,"Belfast",337900,337872
"Population totals",2014,"Causeway Coast and Glens",141500,141453
"Population totals",2014,"Derry City and Strabane",149300,149307
"Population totals",2014,"Fermanagh and Omagh",114800,114785
"Population totals",2014,"Lisburn and Castlereagh",139200,139186
"Population totals",2014,"Mid and East Antrim",136600,136610
"Population totals",2014,"Mid Ulster",143200,143217
"Population totals",2014,"Newry, Mourne and Down",175600,175557
